eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8000934,Beutelsbach,S2,7279,6570008134094305920-2412082348-6,2024-12-09 00:00:00,2024-12-09 00:00:00,0,2024-12-09 00:00:00,2024-12-09 00:00:00,0,1,2,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,Bauarbeiten,,,,,h,6570008134094305920-2412082348,6,,Monday,Monday
8000934,Beutelsbach,S2,7274,-2053374381372023085-2412082333-22,2024-12-09 00:28:00,2024-12-09 00:28:00,0,2024-12-09 00:28:00,2024-12-09 00:28:00,0,,1,nan,Filderstadt|Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Rommelshausen|Stetten-Beinstein|Endersbach,,,,,,,-2053374381372023085-2412082333,22,,Monday,Monday
8000934,Beutelsbach,S2,7276,224206650494097505-2412090003-22,2024-12-09 00:58:00,2024-12-09 00:58:00,0,2024-12-09 00:58:00,2024-12-09 00:58:00,0,2,1,nan,Filderstadt|Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Rommelshausen|Stetten-Beinstein|Endersbach,Bauarbeiten,,,,,h,224206650494097505-2412090003,22,,Monday,Monday
8000038,Bietigheim-Bissingen,S5,7579,8164387048971779418-2412090007-1,,,0,2024-12-09 00:07:00,2024-12-09 00:07:00,0,,nan,nan,,,,,,,,8164387048971779418-2412090007,1,,,Monday
8000038,Bietigheim-Bissingen,S5,7576,-3066283384668269754-2412082352-12,2024-12-09 00:24:00,2024-12-09 00:25:00,1,,,0,,5,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Asperg|Tamm(Württ),,,,,,,-3066283384668269754-2412082352,12,,Monday,
8000038,Bietigheim-Bissingen,S5,7578,7234757278039714020-2412090022-12,2024-12-09 00:54:00,2024-12-09 00:54:00,0,,,0,,5,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Asperg|Tamm(Württ),,,,,,,7234757278039714020-2412090022,12,,Monday,
8001055,Böblingen,S1,7179,8092363418274949423-2412082350-24,2024-12-09 00:59:00,2024-12-09 00:59:00,0,2024-12-09 00:59:00,2024-12-09 01:00:00,1,,4,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim|Stuttgart-Untertürkheim|Stuttgart Neckarpark|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Goldberg(Württ),,,,,,,8092363418274949423-2412082350,24,,Monday,Monday
8001055,Böblingen,S60,7079,-9074467080985277700-2412090034-1,,,0,2024-12-09 00:34:00,2024-12-09 00:35:00,1,,nan,nan,,,,,,,,-9074467080985277700-2412090034,1,,,Monday
8001055,Böblingen,S1,7177,4705599029793291676-2412082320-24,2024-12-09 00:29:00,2024-12-09 00:29:00,0,2024-12-09 00:29:00,2024-12-09 00:30:00,1,,4,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim|Stuttgart-Untertürkheim|Stuttgart Neckarpark|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Goldberg(Württ),,,,,,,4705599029793291676-2412082320,24,,Monday,Monday
8001055,Böblingen,S60,7077,-8774147686098078692-2412090004-1,,,0,2024-12-09 00:04:00,2024-12-09 00:04:00,0,,nan,nan,,,,,,,,-8774147686098078692-2412090004,1,,,Monday
