eva_nr,name,state,city,Gemeinde,Teilort,Landkreis,zipcode,street,long,lat,Verkehrsmittel,Linien (EFA),Betriebszweige,Tarifzonen,category,parking,bicycle,taxis,stepless,car_rental
8002785,Herrenberg,Baden-Württemberg,Herrenberg,Herrenberg,Herrenberg,BB,71083,Bahnhofstr. 14,8.862625253,48.59395697,Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn,S1;S11;IRE4;RB14;RE40;RB63;751;753;773;780;782;783;790;791;794;N70;N77;N80;RB63E;RT773;RT779;RT780;RT782;RT783;RT794;RT77,10;11;31;34;36;50;51,5,3,True,True,True,Yes,False
8002892,Höfingen,Baden-Württemberg,Leonberg,Leonberg,Höfingen,BB,71229,Felsgartenstraße,9.026180834,48.81503436,S-Bahn,S6;S26;S60;S62,10,2;3,5,True,True,False,Yes,False
8003022,Hulb,Baden-Württemberg,Böblingen-Hulb,Böblingen,Böblingen,BB,71032,Dornierstrasse,8.982396429,48.67924173,Bus;R-Bahn;S-Bahn,S1;S11;IRE4;RB14;707;728;728A,10;11;31,3,5,True,True,False,Yes,False
8001984,Filderstadt,Baden-Württemberg,Filderstadt,Filderstadt,Bernhausen,ES,70794,Filderbahnstrasse,9.217581315,48.67649151,S-Bahn,S2;S26,10,2,5,True,True,True,Yes,False
8003266,Kirchberg (Murr),Baden-Württemberg,Kirchberg an der Murr,Kirchberg an der Murr,Kirchberg an der Murr,WN,71737,Bahnhofstraße 94,9.328210283,48.93928182,Bus;R-Bahn;S-Bahn,S4;MEX19;MEX90;488,10;11;31,4,6,True,True,False,Yes,False
8003280,Kirchheim (Teck),Baden-Württemberg,Kirchheim unter Teck,Kirchheim unter Teck,Kirchheim unter Teck,ES,73230,Eugen-Gerstenmaier-Platz 1,9.443872422,48.64415981,Bus;R-Bahn;Ruftaxi;S-Bahn,S1;RB64;144;161;163;164;165;165A;166;173;173A;175;175A;176;177;177A;914;914A;X10;RT161;RT163;RT165;RT176;RT177;RT17,10;11;31;35;50;51,5,4,True,True,True,Partial,False
8003282,Kirchheim (Teck)-Ötlingen,Baden-Württemberg,Kirchheim unter Teck,Kirchheim unter Teck,Ötlingen,ES,73230,Uracher Strasse,9.416261302,48.65782388,Bus;Ruftaxi;S-Bahn,S1;161;163;164;RT161;RT163,10;31;50,5,5,True,True,False,Partial,False
8003409,Korntal,Baden-Württemberg,Korntal,Korntal-Münchingen,Korntal,LB,70825,Bahnhofplatz 1,9.121099128,48.82640246,Bus;R-Bahn;S-Bahn,S6;S26;S60;S62;RB47;90;612,10;12;30;31,1;2,4,True,True,True,Yes,False
8003411,Kornwestheim Pbf,Baden-Württemberg,Kornwestheim,Kornwestheim,Kornwestheim,LB,70806,Bahnhofstraße 85,9.179967278,48.86215948,Bus;Nachtbus;R-Bahn;S-Bahn,S4;S5;IRE1;RE8;RB11;MEX12;MEX17;MEX18;MEX19;MEX90;411;412;413;414;415;N47;N48,10;11;31;34,2,3,True,True,True,Partial,False
8003622,Leinfelden,Baden-Württemberg,Leinfelden-Echterdingen,Leinfelden-Echterdingen,Leinfelden,ES,70771,Bahnhofstrasse,9.142859698,48.6964193,Bus;Nachtbus;S-Bahn;Stadtbahn,S2;S3;S26;U5;82;86;818;818A;826;826A;N18,10;20;30;31;34,2,4,True,True,False,Yes,False
8003652,Leonberg,Baden-Württemberg,Leonberg,Leonberg,Leonberg,BB,71229,Bahnhofstr. 78,9.004025993,48.79970547,Bus;Nachtbus;Ruftaxi;S-Bahn,S6;S26;S60;S62;X2;92;631;632;632A;634;635;640;641;642;643;651;N62;X60;RT644,10;30;31;34;35;51,3,3,True,True,True,Yes,False
8000235,Ludwigsburg,Baden-Württemberg,Ludwigsburg,Ludwigsburg,Ludwigsburg,LB,71638,Bahnhofstr.10,9.185229823,48.89208622,Bus;Nachtbus;R-Bahn;S-Bahn,S4;S5;IRE1;RE8;MEX12;MEX17;MEX18;MEX19;MEX90;413;421;421A;422;422A;423;424;425;425A;426;427;427A;429;430;430A;431;433;433A;443;444;508;532;533;534;535;X43;N41;N42;N43;N53,10;11;31;34,2,3,True,True,True,Yes,False
8003831,Malmsheim,Baden-Württemberg,Renningen,Renningen,Malmsheim,BB,71272,Alte Bahnhofstraße,8.905105557,48.77183564,S-Bahn,S6;S26;S62,10,4,5,True,True,False,Yes,False
8003853,Marbach (Neckar),Baden-Württemberg,Marbach am Neckar,Marbach am Neckar,Marbach am Neckar,LB,71672,Bahnhof 1,9.264611825,48.9437708,Bus;Nachtbus;R-Bahn;S-Bahn,S4;MEX19;MEX90;443;451;455;456;457;460;460A;461;X46;N40;N46,10;11;31;34,3;4,3,True,True,True,Yes,False
8003913,Maubach,Baden-Württemberg,Backnang,Backnang,Maubach,WN,71522,Kärntener Str. 14,9.419487062,48.92623463,Bus;R-Bahn;S-Bahn,S3;MEX19;RE90;MEX90;361;N36,10;11;31;34,3;4,4,True,True,False,Yes,False
8004233,Nellmersbach,Baden-Württemberg,Leutenbach,Leutenbach,Nellmersbach,WN,71397,Bahnhofstr. 86,9.415421538,48.90336425,R-Bahn;S-Bahn,S3;MEX19;RE90;MEX90,10;11,3,5,True,True,False,Yes,False
