eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8005769,Stuttgart-Bad Cannstatt,S2,7271,1678705542121602631-2412082148-12,2024-12-08 22:20:00,2024-12-08 22:21:00,1,2024-12-08 22:21:00,2024-12-08 22:22:00,1,1,1,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach|Endersbach|Stetten-Beinstein|Rommelshausen|Waiblingen|Fellbach,Bauarbeiten,,,,,h,1678705542121602631-2412082148,12,,Sunday,Sunday
8005769,Stuttgart-Bad Cannstatt,S1,7172,-3902948570079765270-2412082216-16,2024-12-08 22:59:00,2024-12-08 23:00:00,1,2024-12-08 22:59:00,2024-12-08 23:01:00,2,,3,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief),,,,,,,-3902948570079765270-2412082216,16,,Sunday,Sunday
8005769,Stuttgart-Bad Cannstatt,S2,7268,-2087465560822386211-2412082203-14,2024-12-08 22:39:00,2024-12-08 22:48:00,9,2024-12-08 22:39:00,2024-12-08 22:49:00,10,,3,nan,Filderstadt|Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief),,,,,,,-2087465560822386211-2412082203,14,,Sunday,Sunday
8005769,Stuttgart-Bad Cannstatt,S3,7369,970449513727673732-2412082141-9,2024-12-08 22:10:00,2024-12-08 22:09:00,-1,2024-12-08 22:11:00,2024-12-08 22:11:00,0,1,1,nan,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach,Bauarbeiten,,,,,h,970449513727673732-2412082141,9,,Sunday,Sunday
8005769,Stuttgart-Bad Cannstatt,S2,7273,-6309040329427903805-2412082218-12,2024-12-08 22:50:00,2024-12-08 22:49:00,-1,2024-12-08 22:51:00,2024-12-08 22:51:00,0,1,1,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach|Endersbach|Stetten-Beinstein|Rommelshausen|Waiblingen|Fellbach,Bauarbeiten,,,,,h,-6309040329427903805-2412082218,12,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S6,7669,-4129909752986717170-2412082133-12,2024-12-08 22:06:00,2024-12-08 22:06:00,0,2024-12-08 22:06:00,2024-12-08 22:06:00,0,,1,nan,Weil der Stadt|Malmsheim|Renningen|Rutesheim|Leonberg|Höfingen|Ditzingen|Weilimdorf|Korntal|Neuwirtshaus(Porscheplatz)|Stuttgart-Zuffenhausen,,,,,,,-4129909752986717170-2412082133,12,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S6,7668,1021373165035643623-2412082212-6,2024-12-08 22:23:00,2024-12-08 22:23:00,0,2024-12-08 22:24:00,2024-12-08 22:24:00,0,,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord,,,,,,,1021373165035643623-2412082212,6,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S5,7573,2526364121907765436-2412082237-7,2024-12-08 22:56:00,2024-12-08 22:56:00,0,2024-12-08 22:56:00,2024-12-08 22:57:00,1,,1,nan,Bietigheim-Bissingen|Tamm(Württ)|Asperg|Ludwigsburg|Kornwestheim Pbf|Stuttgart-Zuffenhausen,,,,,,,2526364121907765436-2412082237,7,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S5,7570,4856527956904907972-2412082222-6,2024-12-08 22:33:00,2024-12-08 22:34:00,1,2024-12-08 22:34:00,2024-12-08 22:34:00,0,,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord,,,,,,,4856527956904907972-2412082222,6,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S6,7670,6788529614568145179-2412082242-6,2024-12-08 22:53:00,2024-12-08 22:57:00,4,2024-12-08 22:54:00,2024-12-08 22:57:00,3,,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord,,,,,,,6788529614568145179-2412082242,6,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S5,7571,1392739293391106860-2412082207-7,2024-12-08 22:26:00,2024-12-08 22:28:00,2,2024-12-08 22:26:00,2024-12-08 22:28:00,2,,1,nan,Bietigheim-Bissingen|Tamm(Württ)|Asperg|Ludwigsburg|Kornwestheim Pbf|Stuttgart-Zuffenhausen,,,,,,,1392739293391106860-2412082207,7,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S4,7466,-7792000217206483448-2412082202-6,2024-12-08 22:13:00,2024-12-08 22:14:00,1,2024-12-08 22:14:00,2024-12-08 22:15:00,1,1,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord,Bauarbeiten,,,,,h,-7792000217206483448-2412082202,6,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S6,7671,6529146617493703402-2412082203-12,2024-12-08 22:36:00,2024-12-08 22:36:00,0,2024-12-08 22:36:00,2024-12-08 22:36:00,0,,1,nan,Weil der Stadt|Malmsheim|Renningen|Rutesheim|Leonberg|Höfingen|Ditzingen|Weilimdorf|Korntal|Neuwirtshaus(Porscheplatz)|Stuttgart-Zuffenhausen,,,,,,,6529146617493703402-2412082203,12,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S4,7471,-2799583529974284273-2412082225-8,2024-12-08 22:46:00,2024-12-08 22:46:00,0,2024-12-08 22:46:00,2024-12-08 22:46:00,0,1,1,nan,Marbach(Neckar)|Benningen(Neckar)|Freiberg(Neckar)|Favoritepark|Ludwigsburg|Kornwestheim Pbf|Stuttgart-Zuffenhausen,Bauarbeiten,,,,,h,-2799583529974284273-2412082225,8,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S4,7468,2915069214993814914-2412082232-6,2024-12-08 22:43:00,2024-12-08 22:44:00,1,2024-12-08 22:44:00,2024-12-08 22:44:00,0,1,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord,Bauarbeiten,,,,,h,2915069214993814914-2412082232,6,,Sunday,Sunday
